 ,Area,Mean,Min,Max,Angle,Length
1,197.845,97.340,73.667,166.083,0,92.288
2,197.845,91.166,73.000,146.433,0,92.806
3,193.544,74.934,54.438,118.619,0,90.214
4,202.146,78.667,64.500,128.479,0,95.918
5,206.447,84.214,55.062,145.062,0,97.472
6,202.146,86.241,63.000,144.315,0,94.362
7,202.146,74.606,56.152,123.660,0,94.362
8,197.845,81.352,67.528,131.504,0,92.288
9,206.447,72.911,56.812,116.441,0,96.954
10,210.748,86.899,54.562,149.562,0,99.546
