 ,Area,Mean,Min,Max,Angle,Length
1,218.500,36.391,19.387,86.667,180,104.183
2,231.353,40.518,22.000,124.667,0,109.015
3,227.068,39.289,23.333,95.333,0,107.633
4,227.068,44.500,28.312,112.000,180,108.325
5,197.078,50.175,38.880,81.889,180,93.836
6,214.216,45.253,28.667,106.667,180,101.423
7,235.637,37.234,19.171,77.667,180,111.774
8,227.068,34.245,21.000,66.000,180,107.633
9,205.647,34.979,19.000,89.000,180,97.283
10,304.186,56.868,24.000,127.167,180,144.892
